git_repository,total_commits,avg_commits_per_day,last_commit_before_months,git_unique_contributors,github_forks,github_stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,SLOC_JS,SLOC_TS,CC
https://github.com/blearjs/blear.polyfills.object,4,0.02,87,1,0,0,0,0,0,0,0,0,387,801,124,0,0,False,156,0,0
https://github.com/visionmedia/eson,65,0.09,122,5,14,150,1,7,4,3,0.3,3.7,396,1438,341,0,0,False,412,0,101
https://github.com/zeit/hyperpower,64,0.03,30,20,132,613,6,36,29,16,0.35,4.25,247,445,112,0,0,False,181,0,31
https://github.com/arbiz/waveform,46,0.16,131,4,1,0,0,0,0,0,1.41,17.14,32,683,289,0,0,False,27,0,5
https://github.com/balibee/greet-by-time,10,10.0,39,2,0,1,0,0,0,0,0,0,22,5014,16,0,0,False,17,0,4
https://github.com/arvitaly/generator-npm-typescript,31,0.05,68,2,0,0,0,1,0,1,2.47,30.0,110,20469,2406,0,0,False,47,48,6
https://github.com/deanslamajr/lamejs,53,0.07,82,11,0,2,0,2,0,0,0,0,32423,94471,29715,0,0,False,21583,0,2570
https://github.com/schekin/ember-paper-data-table,26,0.07,61,4,0,1,0,0,0,0,2.11,25.7,239,29035,17112,0,0,False,314,0,6
https://github.com/sarvalabs/js-moi-sdk,164,0.43,0,7,0,16,0,36,1,20,1.32,16.01,7558,94279,26954,94279,26954,True,4196,5601,771
https://github.com/haris44/Simple-i18n,23,0.11,81,2,0,1,0,1,0,0,0,0,1272,6690,195,0,0,False,897,0,233
https://github.com/EricLambrecht/react-swipe-hook,14,14.0,48,1,0,0,11,1,0,0,0,0,17,8842,151,0,0,False,17,43,0
https://github.com/AngeloCore/rollup-plugin-confuser,4,0.33,2,2,0,0,0,0,0,0,0,0,33,287,69,287,69,True,41,12,5
https://github.com/krambuhl/Struck,176,1.34,114,1,0,1,0,0,1,0,0,0,18128,51453,21841,0,0,False,14413,0,5584
https://github.com/ethereum/remix,2877,1.78,42,55,619,1200,22,768,0,0,2.01,24.46,22673,286299,184012,0,0,False,14178,5213,2143
https://github.com/creationix/node-web,10,0.01,110,2,4,33,1,2,4,4,0,0,407,781,348,0,0,False,177,0,67
https://github.com/m59peacemaker/browser-addeventlistener,6,0.4,79,1,0,0,0,0,0,0,4.29,52.14,134,349,22,0,0,False,38,0,0
https://github.com/prashantbaid/npm-username,6,6.0,98,1,0,1,0,0,0,0,0,0,29,159,24,0,0,False,25,0,5
https://github.com/mafintosh/noise-secret-stream,84,0.08,0,6,13,32,1,21,2,3,0.87,10.6,700,2298,684,364,111,True,534,0,131
https://github.com/tridium/grunt-niagara,188,0.06,3,3,8,11,14,7,0,1,6.43,78.21,2233,34598,9527,69,24,False,1166,0,164
https://github.com/gatsbyjs/gatsby-starter-default,1735,0.55,0,52,992,1400,0,226,0,0,0,0,987,406494,377941,40914,26391,True,358,49,15
https://github.com/DanielHe4rt/bbbot,41,1.41,47,5,117,427,16,9,19,14,0,0,960,2896,1278,0,0,False,488,0,42
https://github.com/nwehner/react_helmet_recaptcha_v3,9,0.16,38,2,0,0,0,0,0,0,0,0,0,542,88,0,0,False,0,67,0
https://github.com/waitingsong/kodak-scanner,132,2.06,70,1,0,0,0,0,0,0,100.0,1216.67,249,3147,573,0,0,False,192,720,0
https://github.com/broofa/BroofaJS,114,0.07,15,3,7,211,0,6,0,4,0.1,1.19,1603,5326,3217,80,606,True,734,0,114
https://github.com/dotgreg/tiro,941,0.81,3,6,1,45,0,1,0,1,2.5,30.42,240673,1074219,795907,471622,440419,True,103783,24080,17308
https://github.com/brettz9/node-mdls,21,0.01,48,5,0,1,0,0,0,0,0,0,112,1385,67,0,0,False,92,0,24
https://github.com/jasonslyvia/react-marquee,13,0.01,62,6,33,81,5,6,8,1,0,0,388,3088,176,0,0,False,327,0,25
https://github.com/lukebennett88/luke-ui,72,1.0,16,2,0,4,2,21,0,0,10.0,121.67,272,28157,16535,6227,6164,True,272,108,0
https://github.com/morishitter/fly-postcss,43,0.03,56,7,5,10,0,4,0,8,2.54,30.93,29,363,340,0,0,False,0,0,0
https://github.com/datproject/dat-ignore,29,0.02,26,4,8,9,0,3,1,3,0.35,4.21,73,5137,2050,0,0,False,155,0,17
https://github.com/reactjs-ui/reactjs-modal,40,0.08,77,1,1,2,0,0,0,0,0,0,4301,42430,27436,0,0,False,1514,0,19702
https://github.com/hybridgroup/cylon-nest,75,0.17,103,7,0,1,0,9,0,0,0.69,8.43,1883,3478,1738,0,0,False,692,0,47
https://github.com/zooper-corp/node-red-contrib-polkadot,28,0.07,2,4,1,0,0,2,1,2,0,0,421,3140,645,3140,645,True,320,0,43
https://github.com/dicuellar-rurall/express-autodoc,6,6.0,5,1,0,0,0,0,0,0,0,0,0,4778,21,4778,21,True,0,97,0
https://github.com/haroldadmin/functions-differ,37,0.08,19,2,12,38,1,7,5,5,0.48,5.82,15,8894,2638,0,0,False,15,439,0
https://github.com/underground0930/react-hook-recaptcha-v2,13,13.0,10,1,0,1,0,2,0,0,0,0,110,11794,222,11794,222,True,114,319,0
https://github.com/adamerny/cordova-minify-v2,41,0.01,21,5,12,6,0,1,0,0,0,0,276,586,199,0,0,False,238,0,35
https://github.com/notificare/notificare-sdk-react-native,338,0.29,1,5,0,4,1,57,1,4,0.7,8.52,460,196856,106377,27258,16098,True,83,4049,0
https://github.com/werk85/grunt-json-minify,18,0.01,93,3,8,9,2,4,0,4,0,0,157,524,101,0,0,False,94,0,5
https://github.com/qiuwenxing/webpack-plugin-oss-pro,5,1.67,3,2,0,3,0,0,0,0,0,0,42,3148,190,3148,190,True,42,37,0
