package_name,Jan 23,Feb 23,Mar 23,Apr 23,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24
is-equal-shallow,9701033.0,9415156.0,10717470.0,8940705.0,9569067.0,9298873.0,8753943.0,9189842.0,8613827.0,8589140.0,7533477.0,6747403.0,7926774.0,5959867.0
rexponse,10.0,8.0,5.0,10.0,4.0,8.0,13.0,4.0,5.0,12.0,11.0,2.0,5.0,1.0
eslint-plugin-no-extension-in-require,16217.0,16487.0,27059.0,14259.0,10738.0,13627.0,11858.0,11645.0,8243.0,4434.0,3935.0,6830.0,5799.0,4363.0
fluids,111787.0,106721.0,110829.0,91262.0,104918.0,104565.0,117553.0,169362.0,119421.0,102077.0,107521.0,82337.0,120009.0,91711.0
spotifyweb-api,5.0,6.0,4.0,5.0,2.0,6.0,7.0,12.0,11.0,12.0,7.0,2.0,5.0,2.0
sanity-plugin-tasks,7.0,10.0,4.0,10.0,4.0,7.0,9.0,22.0,5.0,11.0,9.0,8.0,7.0,1.0
aurelia-bcf,18.0,20.0,13.0,9.0,4.0,11.0,15.0,110.0,6.0,55.0,14.0,15.0,7.0,2.0
easy-tesseract-ocr,44.0,29.0,65.0,31.0,13.0,20.0,31.0,17.0,20.0,59.0,18.0,24.0,15.0,6.0
node-red-contrib-basic-thermostat,61.0,29.0,49.0,38.0,23.0,28.0,26.0,37.0,24.0,49.0,53.0,45.0,35.0,20.0
qcobjects-handler-openapi,24.0,44.0,24.0,40.0,13.0,53.0,57.0,33.0,13.0,43.0,28.0,13.0,38.0,10.0
hexlet-pairs,448.0,129.0,169.0,90.0,91.0,272.0,409.0,151.0,75.0,228.0,301.0,312.0,158.0,83.0
run-scripts,729.0,1695.0,3775.0,3331.0,6658.0,8634.0,8262.0,6999.0,8882.0,11847.0,10763.0,8468.0,10895.0,9268.0
alfred-youtube-thumbnail-link,4.0,4.0,4.0,8.0,2.0,8.0,7.0,2.0,4.0,16.0,2.0,5.0,4.0,0.0
kakapo,663.0,440.0,1001.0,689.0,485.0,3084.0,1038.0,103266.0,432.0,464.0,379.0,717.0,613.0,269.0
react-native-baidu-ios-yf,6.0,7.0,5.0,5.0,3.0,6.0,12.0,5.0,14.0,24.0,23.0,12.0,17.0,7.0
apk-downloader,36.0,16.0,46.0,164.0,48.0,77.0,50.0,163.0,38.0,70.0,25.0,37.0,25.0,10.0
web-watcher,25.0,28.0,17.0,34.0,8.0,13.0,22.0,2.0,13.0,47.0,21.0,8.0,22.0,4.0
mongodb4haiku,11.0,5.0,5.0,4.0,3.0,5.0,7.0,28.0,2.0,7.0,7.0,6.0,4.0,1.0
sails-eslint-fixed,7.0,4.0,4.0,3.0,5.0,7.0,8.0,6.0,2.0,8.0,5.0,2.0,3.0,2.0
kongfig_ventura,14.0,10.0,7.0,9.0,7.0,3.0,12.0,5.0,4.0,16.0,23.0,17.0,19.0,2.0
webpack-shebang-plugin,17223.0,15095.0,19443.0,18538.0,19271.0,23677.0,21630.0,23618.0,26297.0,18572.0,16015.0,17620.0,19028.0,14993.0
myst-config,955.0,1620.0,935.0,1218.0,1819.0,1669.0,1546.0,1369.0,863.0,1212.0,1505.0,1035.0,706.0,1587.0
bulma-classnames,59.0,90.0,34.0,79.0,25.0,9.0,19.0,21.0,15.0,39.0,36.0,19.0,10.0,9.0
wintersmith,5057.0,5664.0,6853.0,7357.0,7678.0,7926.0,8035.0,6674.0,6928.0,7637.0,8049.0,8195.0,9055.0,6561.0
v-listtree,61.0,33.0,70.0,56.0,4.0,44.0,50.0,1.0,23.0,71.0,25.0,38.0,24.0,2.0
fake-json-stream,11.0,4.0,5.0,6.0,2.0,7.0,8.0,6.0,3.0,14.0,10.0,5.0,3.0,8.0
botyo-command-quote,20.0,13.0,13.0,17.0,10.0,9.0,20.0,26.0,14.0,75.0,10.0,9.0,9.0,2.0
js-task-path,24.0,20.0,23.0,12.0,7.0,9.0,15.0,10.0,4.0,21.0,10.0,13.0,7.0,7.0
image-adapt,19.0,6.0,12.0,9.0,7.0,6.0,11.0,5.0,6.0,16.0,13.0,4.0,8.0,1.0
levelheaded,3446.0,2849.0,3960.0,2690.0,755.0,253.0,15.0,20.0,5.0,23.0,14.0,11.0,33.0,2.0
