git_repo,total_commits,last_commit_before_months,avg_commits_per_day,git_unique_contributors,forks,stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,sloc_javascript,sloc_typescript,cyclomatic_complexity
https://github.com/jonschlinkert/is-equal-shallow,12,95.12,0.03,6,8,29,1,3,1,0,0.87,10.58,27,424,54,0,0,False,17.0,0.0,12.0
https://github.com/elchinzadeh/rexponse,3,48.07,1.0,1,0,2,0,0,0,0,0.0,0.0,308,344,5,0,0,False,217.0,0.0,20.0
https://github.com/pdubroy/eslint-plugin-no-extension-in-require,6,93.91,0.02,1,0,2,0,0,0,0,0.0,0.0,99,326,31,0,0,False,69.0,0.0,35.0
https://github.com/alloc/fluids,65,33.23,0.11,2,0,6,0,0,0,0,1.12,13.66,0,808,373,0,0,False,0.0,142.0,11.0
https://github.com/gabrieldarezzo/js-tdd-course,28,77.22,1.04,1,0,1,0,0,0,0,0.0,0.0,637,5725,4570,0,0,False,332.0,0.0,3.0
https://github.com/SimeonGriggs/sanity-plugin-tasks,6,19.37,6.0,1,0,5,0,0,0,0,0.0,0.0,17,35107,109,0,0,False,16.0,761.0,14.0
https://github.com/bimaps/aurelia-bcf,12,33.17,0.16,2,1,0,0,1,0,0,0.0,0.0,3833,21872,165,0,0,False,3700.0,2776.0,16.0
https://github.com/Nicoalz/nicoalz-oss-festivals,4,7.63,4.0,2,0,0,0,0,0,0,0.0,0.0,92,338,29,338,29,True,62.0,0.0,10.0
https://github.com/ssmak/easy-tesseract-ocr,22,79.65,3.14,2,1,3,0,0,0,0,0.0,0.0,105,406,129,0,0,False,87.0,0.0,31.0
https://github.com/eric1980/node-red-contrib-basic-thermostat,8,43.76,0.16,2,1,0,0,0,0,0,0.0,0.0,68,178,5,0,0,False,50.0,0.0,7.0
https://github.com/QCObjects/qcobjects-handler-openapi,31,25.04,0.2,1,0,1,0,0,0,0,1.73,21.06,416,1871,51,0,0,False,221.0,0.0,12.0
https://github.com/hexlet-components/js-pairs,133,13.61,0.05,9,20,33,2,37,0,0,0.33,4.08,226,80900,75950,17489,34757,False,41.0,0.0,10.0
https://github.com/fahad19/run-scripts,20,100.55,0.07,2,2,2,0,2,0,0,120.0,1460.0,33,314,89,0,0,False,27.0,0.0,2.0
https://github.com/chrisspiegl/alfred-youtube-thumbnail-link,4,21.4,4.0,1,0,0,0,0,0,0,0.0,0.0,38,431,2,0,0,False,34.0,0.0,1.0
https://github.com/devlucky/Kakapo.js,455,42.72,0.29,7,23,530,47,102,21,63,0.41,4.95,291963,478986,519779,0,0,False,5849.0,897.0,18.0
https://github.com/zhoutongbie/react-native-baidu-ios,6,84.11,1.2,2,0,0,0,0,0,0,0.0,0.0,2,4071,195,0,0,False,2.0,0.0,1.0
https://github.com/2016508006/apk-downloader,3,40.02,3.0,1,3,5,0,0,0,0,0.0,0.0,68,895,1,0,0,False,53.0,0.0,4.0
https://github.com/lliamscholtz/svelte-aoe,15,5.8,15.0,1,0,5,0,0,0,0,0.0,0.0,31,6620,1242,6620,1242,True,40.0,6.0,1.0
https://github.com/mgcrea/node-web-watcher,28,88.22,0.07,1,4,8,0,0,0,0,0.7,8.47,279,4415,364,0,0,False,242.0,0.0,30.0
https://github.com/christkv/node-mongodb-native,1405,89.54,0.58,104,51,332,2,4,0,0,3.28,39.91,51472,232806,187059,0,0,False,8850.0,0.0,15.0
https://github.com/perliedman/ocad2geojson,288,1.78,0.15,7,5,37,0,10,5,10,0.88,10.67,30386,85630,65722,2808,1355,True,4181.0,49.0,260.0
https://github.com/jasancheg/sails-eslint,14,80.06,0.04,1,6,7,1,1,3,3,0.0,0.0,259,10502,389,0,0,False,191.0,0.0,43.0
https://github.com/mybuilder/kongfig,242,33.85,0.12,23,77,373,40,135,29,64,1.43,17.34,2657,68312,50704,0,0,False,3019.0,0.0,13.0
https://github.com/shuangwhywhy/webpack-shebang-plugin,18,28.28,0.06,3,0,1,0,10,0,2,2.14,26.07,153,635,137,0,0,False,141.0,0.0,32.0
https://github.com/executablebooks/mystmd,3108,0.08,2.37,34,40,139,8,569,189,157,3.48,42.34,1042,593278,476587,221447,240572,True,313.0,31524.0,13.0
https://github.com/seanwlawrence/bulma-classnames,14,66.67,4.67,1,0,2,0,0,0,0,0.0,0.0,558,10008,1349,0,0,False,475.0,0.0,15.0
https://github.com/jnordberg/wintersmith,470,56.08,0.17,52,340,3500,2,105,16,229,0.53,6.43,1038,22217,10338,0,0,False,45.0,0.0,1.0
